Actual question number,Problem,question number
1,"Determine whether the following function $h$ on the region $\Omega_0$ is convex, strictly convex, concave, strictly concave, or neither.\\[1ex] h(x_1, x_2) = \frac{x_1^2}{x_2}, \quad \Omega_0 = \{(x_1, x_2) \in \mathbb{R}^2 \mid x_2 > 0\}.",1
2-i,"Find the five stationary points of $f$ on $\mathbb{R}^2$, where\\[1ex] f(x) = x_1^4 + 2x_2^4 + 2x_1^2 x_2^2 - 2x_1^2 - 4x_2^2 + 2,\\[1ex] \nabla f(x) = 4 \begin{pmatrix} x_1(x_1^2 + x_2^2 - 1) \\ x_2(x_1^2 + 2x_2^2 - 2) \end{pmatrix}, \quad \nabla^2 f(x) = 4 \begin{pmatrix} 3x_1^2 + x_2^2 - 1 & 2x_1 x_2 \\ 2x_1 x_2 & x_1^2 + 6x_2^2 - 2 \end{pmatrix}.",2
2-ii,"Identify, as far as possible using Hessian information, the five stationary points of $f$ as (strict) local minimizers, (strict) local maximizers or saddle points, etc.",3
2-iii,Does the function $f$ have a global maximizer on $\mathbb{R}^2$? Give reasons for your answer.,4
3,"Let $A$ be a real $(n \times n)$ square matrix. Let $a_{ii}$ and $a_{jj}$ be the $i^{\text{th}}$ and $j^{\text{th}}$ diagonal elements of $A$ respectively, where $i, j \in \{1, 2, \ldots, n\}$ and $i \neq j$. Using the definition of an indefinite matrix, show that if $a_{ii}a_{jj} < 0$, then $A$ is indefinite.",5
4,"Let $C$ be an $m \times n$ matrix, $d \in \mathbb{R}^m$, $a \in \mathbb{R}^n$ and $r \in \mathbb{R}$. Show that\\[1ex] \Omega = \{x \in \mathbb{R}^n : \|Cx - d\| \leq a^\top x + r\}\\[1ex] is a convex set for any norm $\|\cdot\|$ on $\mathbb{R}^m$. State any properties of a norm that you use.",6
5-i,"Consider applying the \textit{basic Newton method} to minimise the function\\[1ex] h(x_1, x_2) = x_1^2 + x_2^2 - x_1 x_2 + 3x_2 - 1\\[1ex] on $\mathbb{R}^2$, starting from the point $x^{(1)} = (1, 1)^\top$.\\[1ex] Calculate the Newton direction $s^{(1)}$ for $h$ at $x^{(1)}$.",7
5-ii,Is the Newton direction $s^{(1)}$ a descent direction for $h$ at $x^{(1)}$? Give reasons for your answer.,8
5-iii,Find the next Newton iterate $x^{(2)}$.,9
5-iv,"Stating reasons, show that $x^{(2)}$ is the unique global minimiser for the function $h$.",10
6,"Consider the \textit{equality constrained optimization problem} $(P_1)$\\[1ex] \begin{aligned} \min_{x \in \mathbb{R}^3} \quad & -x_1 x_2 x_3\\ \text{s.t.} \quad & x_1 + x_2 + x_3 - 40 = 0,\\ & x_1 + x_2 - x_3 = 0, \end{aligned}\\[1ex] where $f(x) = -x_1 x_2 x_3$, $c_1(x) = x_1 + x_2 + x_3 - 40$ and $c_2(x) = x_1 + x_2 - x_3$. It is \textbf{given} that $x^* = (10, 10, 20)^\top$ is a regular constrained stationary point for $(P_1)$ with the Lagrange multipliers $\lambda_1^* = 150$ and $\lambda_2^* = 50$. Using the second-order sufficient optimality conditions, determine whether or not $x^*$ is a (strict) local minimiser for $(P_1)$.",11
7-i,Consider the \textit{convex optimization problem} $(P_2)$\\[1ex] \begin{aligned} \min_{x \in \mathbb{R}^2} \quad & e^{-2(x_1 + x_2)} \\ \text{subject to} \quad & e^{x_1} + e^{x_2} - 4 \leq 0. \end{aligned}\\[1ex] Find a constrained stationary point $z^*$ of the problem $(P_2)$.,12
7-ii,Is $z^*$ of part (i) the only constrained stationary point for the problem $(P_2)$? Give reasons for your answer.,13
7-iii,Explain why the constrained stationary point $z^*$ of part (i) is a global minimizer for the problem $(P_2)$.,14
7-iv,"Stating clear reasons, show that $z^*$ of part (i) is the unique global minimizer for the problem $(P_2)$.",15
8-i-a,"For $n$ by $n$ matrices, the computational costs of some common operations are given in Table 1.1.",16
8-i-b,"A high powered workstation has a 2.4 GHz 8 core Xeon processor, where each core can do four floating point operations per clock cycle, 16 GB RAM and 20 MB of cache memory.",17
8-i-c,"A simulation requires the evaluation of the multivariate density function\\[1ex] f(x) = \frac{\exp(-((x - \mu)^T C^{-1}(x - \mu)/2)}{\sqrt{(2\pi)^n \det(C)}} \\[1ex] at $N$ vectors $x_j \in \mathbb{R}^n, j = 1, \dots, N$. The vectors are stored as the columns of a matrix $X \in \mathbb{R}^{n \times N}$. $C \in \mathbb{R}^{n \times n}$ is a nonsingular covariance matrix.",18
8-ii-a,What is the largest covariance matrix $C$ that can be stored in the cache memory of the workstation using IEEE double precision?,19
8-ii-b,Estimate the speed of the workstation in Gflops per second.,20
8-ii-c,What is the largest value of $n$ so that a linear system $Cx = b$ can be solved in 1 minute on this workstation?,21
8-ii-d,\textbf{Analyst 1} claims that the simulation will take $2Nn^3/3$ flops while \textbf{Analyst 2} claims the simulation will take $n^3/3 + O(Nn^2)$ flops. Explain why you agree with one or neither of the analysts.,22
8-ii-e,"Explain how you would efficiently calculate $f(x_j), j = 1, \ldots, N$.",23
8-iii-a,"Let $C$ be an $n$ by $n$ covariance matrix. A MATLAB session gives the following output: \begin{verbatim} [R, posdef] = chol(C); posdef ans = 0 Cdet = det(C) Cdet = 0 rc = rcond(C) rc = 2.0128e-10 \end{verbatim} Is the matrix $C$ nonsingular?",24
8-iii-b,Is the matrix $C$ positive definite?,25
8-iii-c,"Are your answers to parts a) and b) consistent? If not, explain any inconsistencies.",26
8-iii-d,What does the output tell you about the condition number $\kappa(C)$?,27
8-iii-e,"The elements of $C$ are known “exactly”, and the computed solution $x$ to $Cx = b$ must have at least 4 significant figures. How accurate must $b$ be to achieve this?",28
8-iv-a,"Consider the matrix\\[1ex] B = C + \sum_{k=1}^K \alpha_k v_k v_k^T,\\[1ex] where $C \in \mathbb{R}^{n \times n}$ is a sparse symmetric positive definite matrix with $n \gg K$, $\alpha_k \geq 0$ and $v_k \in \mathbb{R}^n$ for $k = 1, \ldots, K$.\\[1ex] Show that $B$ is positive definite.",29
8-iv-b,Why is explicitly forming $B^{-1}$ not a good idea.,30
8-iv-c,How can you calculate $y = Bx$ efficiently for a given $x \in \mathbb{R}^n$?,31
9-i-a,\textbf{Intern 1} approximated the data by the lowest degree polynomial that interpolates all the points.\\[1ex] What is the degree $n$ of this polynomial?,32
