qid,full_question,subid,subquestion
Problemone,A single die is tossed; then n coins are tossed where n is the number shown on the die. Show that the probability of exactly two heads is close to 0.2578.,,A single die is tossed; then n coins are tossed where n is the number shown on the die. Show that the probability of exactly two heads is close to 0.2578.
Problemtwo,"A certain river floods every year. Suppose that the low-water mark is set at 1 and the high-water mark X has a distribution function:

    F_X(x) = P(X ≤ x) = 1 - 1/x²,    for 1 ≤ x < ∞.

1. Verify that F_X(x) is a cumulative distribution function.
2. Find the density f_X(x) (specify it on the whole real axis).
3. If the (same) low-water mark is reset at 0 and we use a unit of measurement that is 1/10 of that used previously, express the random variable Z for the new measurement as a function of X. Then find precisely the cumulative distribution function and the density of Z.",1,Verify that F_X(x) = 1 - 1/x² (x ≥ 1) is a valid cumulative distribution function.
Problemtwo,"A certain river floods every year. Suppose that the low-water mark is set at 1 and the high-water mark X has a distribution function:

    F_X(x) = P(X ≤ x) = 1 - 1/x²,    for 1 ≤ x < ∞.

1. Verify that F_X(x) is a cumulative distribution function.
2. Find the density f_X(x) (specify it on the whole real axis).
3. If the (same) low-water mark is reset at 0 and we use a unit of measurement that is 1/10 of that used previously, express the random variable Z for the new measurement as a function of X. Then find precisely the cumulative distribution function and the density of Z.",2,"Find the probability density function f_X(x), and specify it on the entire real axis."
Problemtwo,"A certain river floods every year. Suppose that the low-water mark is set at 1 and the high-water mark X has a distribution function:

    F_X(x) = P(X ≤ x) = 1 - 1/x²,    for 1 ≤ x < ∞.

1. Verify that F_X(x) is a cumulative distribution function.
2. Find the density f_X(x) (specify it on the whole real axis).
3. If the (same) low-water mark is reset at 0 and we use a unit of measurement that is 1/10 of that used previously, express the random variable Z for the new measurement as a function of X. Then find precisely the cumulative distribution function and the density of Z.",3,"Let the low-water mark be reset to 0, and define Z = 10(X - 1). Find the CDF and PDF of Z."
Problemthree,"Suppose X = (X₁, ..., Xₙ) are i.i.d. Poisson(θ) with a probability mass function:
    f(x; θ) = (e^{-θ} θ^x) / x!,    x ∈ {0,1,2,...},    θ > 0.

The prior on the unknown parameter θ is assumed to be Gamma(α, β) with density:
    τ(θ) = (1 / (Γ(α) β^α)) * θ^{α−1} * e^{-θ/β},    with α, β > 0 and θ > 0.

a) Find the posterior distribution for θ.
b) Hence or otherwise determine the Bayes estimator of θ with respect to the quadratic loss L(a, θ) = (a − θ)².
c) Suppose the following ten observations were observed: 4, 0, 1, 0, 0, 2, 3, 1, 1, 0.
   Using a zero-one loss with α = 2 and β = 1 for the prior, what is your decision when testing H₀: θ ≤ 1.2 vs H₁: θ > 1.2. (You may use the integrate function in R or another numerical integration routine to answer the question.)",a,"Find the posterior distribution for θ given prior Gamma(α, β) and i.i.d. Poisson(θ) data."
Problemthree,"Suppose X = (X₁, ..., Xₙ) are i.i.d. Poisson(θ) with a probability mass function:
    f(x; θ) = (e^{-θ} θ^x) / x!,    x ∈ {0,1,2,...},    θ > 0.

The prior on the unknown parameter θ is assumed to be Gamma(α, β) with density:
    τ(θ) = (1 / (Γ(α) β^α)) * θ^{α−1} * e^{-θ/β},    with α, β > 0 and θ > 0.

a) Find the posterior distribution for θ.
b) Hence or otherwise determine the Bayes estimator of θ with respect to the quadratic loss L(a, θ) = (a − θ)².
c) Suppose the following ten observations were observed: 4, 0, 1, 0, 0, 2, 3, 1, 1, 0.
   Using a zero-one loss with α = 2 and β = 1 for the prior, what is your decision when testing H₀: θ ≤ 1.2 vs H₁: θ > 1.2. (You may use the integrate function in R or another numerical integration routine to answer the question.)",b,"Determine the Bayes estimator of θ under quadratic loss L(a, θ) = (a − θ)²."
Problemthree,"Suppose X = (X₁, ..., Xₙ) are i.i.d. Poisson(θ) with a probability mass function:
    f(x; θ) = (e^{-θ} θ^x) / x!,    x ∈ {0,1,2,...},    θ > 0.

The prior on the unknown parameter θ is assumed to be Gamma(α, β) with density:
    τ(θ) = (1 / (Γ(α) β^α)) * θ^{α−1} * e^{-θ/β},    with α, β > 0 and θ > 0.

a) Find the posterior distribution for θ.
b) Hence or otherwise determine the Bayes estimator of θ with respect to the quadratic loss L(a, θ) = (a − θ)².
c) Suppose the following ten observations were observed: 4, 0, 1, 0, 0, 2, 3, 1, 1, 0.
   Using a zero-one loss with α = 2 and β = 1 for the prior, what is your decision when testing H₀: θ ≤ 1.2 vs H₁: θ > 1.2. (You may use the integrate function in R or another numerical integration routine to answer the question.)",c,"Given observations [4,0,1,0,0,2,3,1,1,0] and prior α=2, β=1, test H₀: θ ≤ 1.2 vs H₁: θ > 1.2 using zero-one loss."
Problemfour,"The Premier of NSW has to take an important decision whether or not to include an additional line (extension) to Sydney’s metro system. The decision is based on the financial viability of the extension. He is willing to apply decision theory in making his decision. He uses the independent opinion of two consulting experts. The data he uses is the number X of viability recommendations of the two experts (X = 0, 1 or 2).

If the Premier does not go ahead and the extension turns out not to be financially viable or if he decides to go ahead and the project is financially viable, nothing is lost. If the project is not financially viable and he has decided to go ahead, his subjective judgement is that his loss would equal three times the loss of not going ahead but the project is financially viable.

The Premier has investigated the history of viability predictions of the two consulting experts and it is as follows. When a project is financially viable, both experts have correctly predicted its viability with probability 4/5 (and wrongly with 1/5). When a project has not been financially viable, both experts had a prediction of 3/5 for it to be viable. The Premier listens to the recommendations of the two experts and makes his decision based on the value of X.

a) There are two possible actions in the action space A = {a₀, a₁} where a₀ is to go ahead and a₁ is not to go ahead. There are two states of nature Θ = {θ₀, θ₁} where θ₀ = 0 represents 'extension is financially viable' and θ₁ = 1 means 'not viable'. Define a suitable loss function L(θ, a).
b) Compute the probability mass function (pmf) for X under both states of nature.
c) The complete list of all the non-randomized decisions rules D based on x is given by:
   x = 0: a₀ a₁ a₀ a₁ a₀ a₁ a₀ a₁
   x = 1: a₀ a₀ a₁ a₁ a₀ a₀ a₁ a₁
   x = 2: a₀ a₀ a₀ a₀ a₁ a₁ a₁ a₁
   (d₁ to d₈)
d) For each rule in D compute the corresponding risk points.
e) Find the minimax rule(s) among the non-randomized rules.
f) Sketch the risk set of all randomized rules D generated by the 8 rules. Use R or any plotting tool.
g) Find the risk point of the minimax rule in the set of randomized decision rules D. Compare to minimax in D.
h) Define the minimax rule in D in terms of rules in D.
i) For which prior on {θ₁, θ₂} is the minimax rule in D also a Bayes rule?
j) Suppose the Premier’s belief in viability is 50%. Find the Bayes rule and Bayes risk.
k) For ε = 0.1, find the ε-minimax rules and risk points on the risk set.",a,"Define a suitable loss function L(θ, a) for action space A = {a₀, a₁} and states Θ = {θ₀, θ₁}."
Problemfour,"The Premier of NSW has to take an important decision whether or not to include an additional line (extension) to Sydney’s metro system. The decision is based on the financial viability of the extension. He is willing to apply decision theory in making his decision. He uses the independent opinion of two consulting experts. The data he uses is the number X of viability recommendations of the two experts (X = 0, 1 or 2).

If the Premier does not go ahead and the extension turns out not to be financially viable or if he decides to go ahead and the project is financially viable, nothing is lost. If the project is not financially viable and he has decided to go ahead, his subjective judgement is that his loss would equal three times the loss of not going ahead but the project is financially viable.

The Premier has investigated the history of viability predictions of the two consulting experts and it is as follows. When a project is financially viable, both experts have correctly predicted its viability with probability 4/5 (and wrongly with 1/5). When a project has not been financially viable, both experts had a prediction of 3/5 for it to be viable. The Premier listens to the recommendations of the two experts and makes his decision based on the value of X.

a) There are two possible actions in the action space A = {a₀, a₁} where a₀ is to go ahead and a₁ is not to go ahead. There are two states of nature Θ = {θ₀, θ₁} where θ₀ = 0 represents 'extension is financially viable' and θ₁ = 1 means 'not viable'. Define a suitable loss function L(θ, a).
b) Compute the probability mass function (pmf) for X under both states of nature.
c) The complete list of all the non-randomized decisions rules D based on x is given by:
   x = 0: a₀ a₁ a₀ a₁ a₀ a₁ a₀ a₁
   x = 1: a₀ a₀ a₁ a₁ a₀ a₀ a₁ a₁
   x = 2: a₀ a₀ a₀ a₀ a₁ a₁ a₁ a₁
   (d₁ to d₈)
d) For each rule in D compute the corresponding risk points.
e) Find the minimax rule(s) among the non-randomized rules.
f) Sketch the risk set of all randomized rules D generated by the 8 rules. Use R or any plotting tool.
g) Find the risk point of the minimax rule in the set of randomized decision rules D. Compare to minimax in D.
h) Define the minimax rule in D in terms of rules in D.
i) For which prior on {θ₁, θ₂} is the minimax rule in D also a Bayes rule?
j) Suppose the Premier’s belief in viability is 50%. Find the Bayes rule and Bayes risk.
k) For ε = 0.1, find the ε-minimax rules and risk points on the risk set.",b,Compute the pmf of X under both θ₀ and θ₁.
Problemfour,"The Premier of NSW has to take an important decision whether or not to include an additional line (extension) to Sydney’s metro system. The decision is based on the financial viability of the extension. He is willing to apply decision theory in making his decision. He uses the independent opinion of two consulting experts. The data he uses is the number X of viability recommendations of the two experts (X = 0, 1 or 2).

If the Premier does not go ahead and the extension turns out not to be financially viable or if he decides to go ahead and the project is financially viable, nothing is lost. If the project is not financially viable and he has decided to go ahead, his subjective judgement is that his loss would equal three times the loss of not going ahead but the project is financially viable.

The Premier has investigated the history of viability predictions of the two consulting experts and it is as follows. When a project is financially viable, both experts have correctly predicted its viability with probability 4/5 (and wrongly with 1/5). When a project has not been financially viable, both experts had a prediction of 3/5 for it to be viable. The Premier listens to the recommendations of the two experts and makes his decision based on the value of X.

a) There are two possible actions in the action space A = {a₀, a₁} where a₀ is to go ahead and a₁ is not to go ahead. There are two states of nature Θ = {θ₀, θ₁} where θ₀ = 0 represents 'extension is financially viable' and θ₁ = 1 means 'not viable'. Define a suitable loss function L(θ, a).
b) Compute the probability mass function (pmf) for X under both states of nature.
c) The complete list of all the non-randomized decisions rules D based on x is given by:
   x = 0: a₀ a₁ a₀ a₁ a₀ a₁ a₀ a₁
   x = 1: a₀ a₀ a₁ a₁ a₀ a₀ a₁ a₁
   x = 2: a₀ a₀ a₀ a₀ a₁ a₁ a₁ a₁
   (d₁ to d₈)
d) For each rule in D compute the corresponding risk points.
e) Find the minimax rule(s) among the non-randomized rules.
f) Sketch the risk set of all randomized rules D generated by the 8 rules. Use R or any plotting tool.
g) Find the risk point of the minimax rule in the set of randomized decision rules D. Compare to minimax in D.
h) Define the minimax rule in D in terms of rules in D.
i) For which prior on {θ₁, θ₂} is the minimax rule in D also a Bayes rule?
j) Suppose the Premier’s belief in viability is 50%. Find the Bayes rule and Bayes risk.
k) For ε = 0.1, find the ε-minimax rules and risk points on the risk set.",c,List all non-randomized decision rules D based on x.
