Problem ID,Sub ID,Subquestion,Score,Total,Feedback
Problemone,,A single die is tossed; then n coins are tossed where n is the number shown on the die. Show that the probability of exactly two heads is close to 0.2578.,5,5,"Excellent work! The student's solution is fully correct, well-organized, and demonstrates clear and rigorous reasoning. Each step is accurately calculated and logically structured."
Problemtwo,1,Verify that F_X(x) = 1 - 1/x² (x ≥ 1) is a valid cumulative distribution function.,5,5,Excellent solution. The student correctly verified all necessary conditions for a valid CDF with clear and rigorous reasoning.
Problemtwo,2,"Find the probability density function f_X(x), and specify it on the entire real axis.",5,5,Excellent work! The student correctly differentiated the CDF to find the PDF and specified it accurately on the entire real axis. The solution is well-structured and rigorous.
Problemtwo,3,"Let the low-water mark be reset to 0, and define Z = 10(X - 1). Find the CDF and PDF of Z.",5,5,"Excellent work! The student's solution is fully correct, well-organized, and demonstrates clear and rigorous reasoning. Each step logically follows from the previous one, and the final expressions for the CDF and PDF of Z are accurate."
Problemthree,a,"Find the posterior distribution for θ given prior Gamma(α, β) and i.i.d. Poisson(θ) data.",5,5,"Excellent work! The student's solution is fully correct, well-organized, and demonstrates rigorous and clear reasoning. Each step is logically structured and accurately executed."
Problemthree,b,"Determine the Bayes estimator of θ under quadratic loss L(a, θ) = (a − θ)².",5,5,"Excellent solution. All steps are correct, well-organized, and logically structured. The student demonstrates a clear understanding of the Bayes estimator under quadratic loss."
Problemthree,c,"Given observations [4,0,1,0,0,2,3,1,1,0] and prior α=2, β=1, test H₀: θ ≤ 1.2 vs H₁: θ > 1.2 using zero-one loss.",4,5,The student's solution is mostly correct with a minor error in the posterior parameter calculation. The decision-making process is clear and follows the zero-one loss criterion correctly.
Problemfour,a,"Define a suitable loss function L(θ, a) for action space A = {a₀, a₁} and states Θ = {θ₀, θ₁}.",5,5,"Excellent work. The student has correctly defined the loss function for all combinations of θ and a, with clear and logical steps. The final summary is also accurate and well-presented."
Problemfour,b,Compute the pmf of X under both θ₀ and θ₁.,5,5,"Excellent work! The student's solution is fully correct, well-organized, and demonstrates clear and rigorous reasoning. Each step is accurately executed, and the final pmf summaries are correct."
Problemfour,c,List all non-randomized decision rules D based on x.,5,5,"Excellent work. The student has correctly listed all non-randomized decision rules based on x, with clear and accurate steps."
Problemfour,d,Compute the risk points for all non-randomized rules in D.,5,5,"Excellent work! The student's solution is fully correct, well-organized, and demonstrates rigorous and clear reasoning. Each step is accurately executed and clearly explained."
Problemfour,e,Find the minimax rule(s) among the non-randomized rules in D.,5,5,"Excellent work! The student's solution is fully correct, well-organized, and demonstrates rigorous and clear reasoning. Each step is accurately executed, and the final minimax rule is correctly identified."
