Actual question number,Question number,AI answer,Correct answer,Mark,Shortcoming
opt-1,1,"To determine the convexity or concavity of the function \( h(x_1, x_2) = \frac{x_1^2}{x_2} \) on the region \( \Omega_0 = \{ (x_1, x_2) \in \mathbb{R}^2 \mid x_2 > 0 \} \), we need to compute the Hessian matrix and analyze its properties.

First, we find the first-order partial derivatives:
\[
\frac{\partial h}{\partial x_1} = \frac{2x_1}{x_2}, \quad \frac{\partial h}{\partial x_2} = -\frac{x_1^2}{x_2^2}.
\]

Next, we find the second-order partial derivatives:
\[
\frac{\partial^2 h}{\partial x_1^2} = \frac{2}{x_2}, \quad
\frac{\partial^2 h}{\partial x_2^2} = \frac{2x_1^2}{x_2^3}, \quad
\frac{\partial^2 h}{\partial x_1 \partial x_2} = \frac{\partial^2 h}{\partial x_2 \partial x_1} = -\frac{2x_1}{x_2^2}.
\]

The Hessian matrix is then given by:
\[
H(x_1, x_2) = \begin{bmatrix}
\frac{2}{x_2} & -\frac{2x_1}{x_2^2} \\
-\frac{2x_1}{x_2^2} & \frac{2x_1^2}{x_2^3}
\end{bmatrix}.
\]

To determine the definiteness of the Hessian, we need to examine its leading principal minors. The first leading principal minor is \( \frac{2}{x_2} \), which is positive since \( x_2 > 0 \).

The determinant of the Hessian is:
\[
\det(H) = \left( \frac{2}{x_2} \right) \left( \frac{2x_1^2}{x_2^3} \right) - \left( -\frac{2x_1}{x_2^2} \right)^2 = \frac{4x_1^2}{x_2^4} - \frac{4x_1^2}{x_2^4} = 0.
\]

Since the determinant is 0 and the first leading principal minor is positive, the Hessian is positive semidefinite.

This indicates that the function \( h(x_1, x_2) \) is convex on \( \Omega_0 \). It is not strictly convex since the determinant is zero. Therefore, the function is convex.

-- The function \( h(x_1, x_2) = \frac{x_1^2}{x_2} \) on the region \( \Omega_0 = \{ (x_1, x_2) \in \mathbb{R}^2 \mid x_2 > 0 \} \) is convex, but not strictly convex, because the Hessian matrix is positive semidefinite and not positive definite.
","\textbf{Solution.} The gradient and the Hessian of \( h \) are given by

\[
\nabla h(x_1, x_2) = \begin{pmatrix}
\frac{2x_1}{x_2} \\
-\frac{x_1^2}{x_2^2}
\end{pmatrix}, \quad
\nabla^2 h(x_1, x_2) = \begin{pmatrix}
\frac{2}{x_2} & -\frac{2x_1}{x_2^2} \\
-\frac{2x_1}{x_2^2} & \frac{2x_1^2}{x_2^3}
\end{pmatrix}.
\]

Then,
\[
\mathrm{tr}(\nabla^2 h(x_1, x_2)) = \frac{2}{x_2} + \frac{2x_1^2}{x_2^3} > 0 \quad \text{on } \Omega_0,
\]

and
\[
\det(\nabla^2 h(x_1, x_2)) = \frac{4x_1^2}{x_2^4} - \frac{4x_1^2}{x_2^4} = 0,
\]

implying that one of the eigenvalues is zero and the other is positive. Hence, \( \nabla^2 h(x_1, x_2) \) is positive semidefinite on \( \Omega_0 \), and \( h \) is a convex function on \( \Omega_0 \).
",5,1.does not explicitly mention the eigenvalues or use the trace
opt-2-i,2,"\text{To find the stationary points of the function } f(\mathbf{x}) = x_1^4 + 2x_2^4 + 2x_1^2 x_2^2 - 2x_1^2 - 4x_2^2 + 2, \text{ we need to solve the system of equations given by } \nabla f(\mathbf{x}) = 0, \text{ which is } 4x_1(x_1^2 + x_2^2 - 1) = 0 \text{ and } 4x_2(x_1^2 + 2x_2^2 - 2) = 0. \text{ From the first equation, either } x_1 = 0 \text{ or } x_1^2 + x_2^2 = 1. \text{ If } x_1 = 0, \text{ the second equation becomes } 4x_2(2x_2^2 - 2) = 0, \text{ leading to } x_2 = 0 \text{ or } x_2^2 = 1, \text{ so } x_2 = \pm 1. \text{ If } x_1^2 + x_2^2 = 1, \text{ we substitute } x_1^2 = 1 - x_2^2 \text{ into the second equation, giving } x_2(1 - x_2^2 + 2x_2^2 - 2) = 0, \text{ so } x_2(x_2^2 - 1) = 0, \text{ thus } x_2 = 0 \text{ or } x_2 = \pm 1. \text{ If } x_2 = 0, \text{ then } x_1^2 = 1, \text{ so } x_1 = \pm 1. \text{ If } x_2 = \pm 1, \text{ then } x_1^2 = 0, \text{ so } x_1 = 0. \text{ Therefore, the five stationary points are } (0,0), (0,1), (0,-1), (1,0), \text{ and } (-1,0).
","\text{Solving } \nabla f(x) = 0 \text{ requires that}
\\
x_1(x_1^2 + x_2^2 - 1) = 0, \tag{1}
\\
x_2(x_1^2 + 2x_2^2 - 2) = 0. \tag{2}
\\
\text{It follows from Eqn. (1) that } x_1 = 0 \text{ or } x_1^2 + x_2^2 - 1 = 0. \text{ When } x_1 = 0, \text{ Eqn. (2) gives } x_2 = 0 \text{ or } x_2 = \pm1, \text{ so } (0,0), (0,1), (0,-1) \text{ are stationary points. When } x_1^2 + x_2^2 - 1 = 0, \text{ we require } x_2 = 0 \text{ or } x_1^2 + 2x_2^2 - 2 = 0 \text{ from Eqn. (2). Solving } x_1^2 + x_2^2 = 1 \text{ and } x_2 = 0 \text{ gives the stationary points } (1,0) \text{ and } (-1,0). \text{ Finally, solving } x_1^2 + x_2^2 - 1 = 0 \text{ and } x_1^2 + 2x_2^2 - 2 = 0 \text{ gives the stationary points } (0,1) \text{ and } (0,-1). \text{ In conclusion, the stationary points are }
\\
\mathbf{a} = \begin{pmatrix} 0 \\ 0 \end{pmatrix}, 
\mathbf{b} = \begin{pmatrix} 1 \\ 0 \end{pmatrix}, 
\mathbf{c} = \begin{pmatrix} -1 \\ 0 \end{pmatrix}, 
\mathbf{d} = \begin{pmatrix} 0 \\ 1 \end{pmatrix}, 
\mathbf{e} = \begin{pmatrix} 0 \\ -1 \end{pmatrix}.
",5,1. less formal structure 2. no summary step 3.assume reader infers reasoning
opt-2-ii,3,"\text{To classify the stationary points using the Hessian, we evaluate the Hessian matrix } \nabla^2 f(\mathbf{x}) = 4 \begin{pmatrix} 3x_1^2 + x_2^2 - 1 & 2x_1 x_2 \\ 2x_1 x_2 & x_1^2 + 6x_2^2 - 2 \end{pmatrix} \text{ at each stationary point.} \\
\text{At } (0,0), \nabla^2 f(0,0) = 4 \begin{pmatrix} -1 & 0 \\ 0 & -2 \end{pmatrix}, \text{ which is negative definite, so } (0,0) \text{ is a local maximizer.} \\
\text{At } (0,1), \nabla^2 f(0,1) = 4 \begin{pmatrix} 0 & 0 \\ 0 & 4 \end{pmatrix}, \text{ which is positive semidefinite, and at } (0,-1), \nabla^2 f(0,-1) = 4 \begin{pmatrix} 0 & 0 \\ 0 & 4 \end{pmatrix}, \text{ which is also positive semidefinite.} \\
\text{At } (1,0), \nabla^2 f(1,0) = 4 \begin{pmatrix} 2 & 0 \\ 0 & -1 \end{pmatrix}, \text{ which is indefinite, so } (1,0) \text{ is a saddle point.} \\
\text{At } (-1,0), \nabla^2 f(-1,0) = 4 \begin{pmatrix} 2 & 0 \\ 0 & -1 \end{pmatrix}, \text{ which is also indefinite, so } (-1,0) \text{ is a saddle point.} \\
\text{Thus, } (0,0) \text{ is a local maximizer, } (1,0) \text{ and } (-1,0) \text{ are saddle points, and } (0,1) \text{ and } (0,-1) \text{ are not strictly local minimizers or maximizers but are local minimizers in the direction of } x_2.
","\textbf{Solution.}
\begin{itemize}
  \item \text{For } \mathbf{a} = (0,0)^T, \text{ the Hessian matrix is } \nabla^2 f(\mathbf{a}) = 4 \begin{pmatrix} -1 & 0 \\ 0 & -2 \end{pmatrix}. \text{ The eigenvalues of } \nabla^2 f(\mathbf{a}) \text{ are } -4 \text{ and } -8, \text{ so } \nabla^2 f(\mathbf{a}) \text{ is negative definite. By the second-order sufficient optimality conditions, } \mathbf{a} \text{ is a strict local maximiser of } f.
  
  \item \text{For } \mathbf{b} = (1,0)^T, \nabla^2 f(\mathbf{b}) = 4 \begin{pmatrix} 2 & 0 \\ 0 & -1 \end{pmatrix}. \text{ The eigenvalues are } \lambda_1 = 8 > 0 \text{ and } \lambda_2 = -4 < 0, \text{ so } \nabla^2 f(\mathbf{b}) \text{ is indefinite, and } \mathbf{b} \text{ is a saddle point of } f.
  
  \item \text{For } \mathbf{c} = (-1,0)^T, \nabla^2 f(\mathbf{c}) = 4 \begin{pmatrix} 2 & 0 \\ 0 & -1 \end{pmatrix}, \text{ which is indefinite, and } \mathbf{c} \text{ is a saddle point of } f.
  
  \item \text{For } \mathbf{d} = (0,1)^T, \nabla^2 f(\mathbf{d}) = 4 \begin{pmatrix} 0 & 0 \\ 0 & 4 \end{pmatrix}, \text{ which is positive semi-definite as the eigenvalues are } 0 \text{ and } 16. \text{ It is not enough to conclude that } \mathbf{d} \text{ is a local minimiser, but we can conclude that } \mathbf{d} \text{ is not a local maximiser by the second-order necessary conditions for a local maximizer.}
  
  \item \text{For } \mathbf{e} = (0,-1)^T, \nabla^2 f(\mathbf{e}) = 4 \begin{pmatrix} 0 & 0 \\ 0 & 4 \end{pmatrix}, \text{ which is positive semi-definite, so } \mathbf{e} \text{ cannot be a local maximiser of } f \text{ by the second-order necessary conditions for a local maximizer.}
\end{itemize}
",4,1.lacks eigenvalue justification 2.missing formal optimality conditions 3.less precise terminology
opt-2-iii,4,"\text{To determine if } f(\mathbf{x}) = x_1^4 + 2x_2^4 + 2x_1^2 x_2^2 - 2x_1^2 - 4x_2^2 + 2 \text{ has a global maximizer on } \mathbb{R}^2, \text{ we analyze its behavior as } \|\mathbf{x}\| \to \infty. \text{ We can write } f(\mathbf{x}) = x_1^4 + 2x_2^4 + 2x_1^2 x_2^2 - 2x_1^2 - 4x_2^2 + 2 = (x_1^2 + x_2^2)^2 + x_2^4 - 2x_1^2 - 4x_2^2 + 2. \text{ As } \|\mathbf{x}\| \to \infty, \text{ the quartic terms dominate, so } f(\mathbf{x}) \to \infty. \text{ Thus, the function is unbounded above, and there is no global maximizer on } \mathbb{R}^2.
","\textbf{Solution.} \text{ The function } f \text{ does not have a global maximiser because }
f(x_1, 0) = x_1^4 - 2x_1^2 + 2 = (x_1^2 - 1)^2 + 1 \to +\infty
\text{ as } x_1 \to +\infty, \text{ and the function is not bounded above on } \mathbb{R}^2.
",5,no
opt-3,5,"Let \( A \) be a real \( n \times n \) square matrix, and let \( a_{ii} \) and \( a_{jj} \) be the \( i^{\text{th}} \) and \( j^{\text{th}} \) diagonal elements of \( A \) respectively, where \( i, j \in \{1, 2, \ldots, n\} \) and \( i \ne j \). If \( a_{ii}a_{jj} < 0 \), then \( a_{ii} \) and \( a_{jj} \) have opposite signs. We can construct vectors \( x \) and \( y \) such that \( x_i = 1, x_k = 0 \text{ for } k \ne i \), and \( y_j = 1, y_k = 0 \text{ for } k \ne j \). Then \( x^T A x = a_{ii} \) and \( y^T A y = a_{jj} \). Since \( a_{ii}a_{jj} < 0 \), it follows that \( x^T A x \) and \( y^T A y \) have opposite signs. By definition, a matrix is indefinite if there exist vectors \( u \) and \( v \) such that \( u^T A u > 0 \) and \( v^T A v < 0 \). Since we have found such vectors \( x \) and \( y \), we conclude that \( A \) is indefinite.
","\textbf{Proof.} We take the standard basis vectors \( e_i \in \mathbb{R}^n \), which has entry 1 on the \( i \)-th component and zero otherwise, and \( e_j \in \mathbb{R}^n \), which has entry 1 on the \( j \)-th component and zero otherwise, \( e_i \ne e_j \). Then, \( e_i^T A e_i = a_{ii} \) and \( e_j^T A e_j = a_{jj} \). We consider two scenarios when \( a_{ii}a_{jj} < 0 \), i.e., \( a_{ii} < 0, a_{jj} > 0 \) or \( a_{ii} > 0, a_{jj} < 0 \). For the former scenario, \( e_i^T A e_i < 0 \) and \( e_j^T A e_j > 0 \). By the definition, \( A \) is an indefinite matrix. For the latter scenario, \( e_i^T A e_i > 0 \) and \( e_j^T A e_j < 0 \), again implying that \( A \) is indefinite. \(\square\)
",5,1.not explicitly naming the standard basis vectors or splitting into cases
opt-4,6,"\text{Let } C \text{ be an } m \times n \text{ matrix},\ d \in \mathbb{R}^m,\ a \in \mathbb{R}^n \text{ and } r \in \mathbb{R}.
\text{We want to show that } \Omega = \left\{ x \in \mathbb{R}^n : \|Cx - d\| \leq a^\top x + r \right\} 
\text{ is a convex set for any norm } \|\cdot\| \text{ on } \mathbb{R}^m.

\text{Let } x_1, x_2 \in \Omega \text{ and } \lambda \in [0,1]. \text{ We need to show that } \lambda x_1 + (1 - \lambda)x_2 \in \Omega.

\text{By definition of } \Omega, \text{ we have } \|Cx_1 - d\| \leq a^\top x_1 + r \text{ and } \|Cx_2 - d\| \leq a^\top x_2 + r.

\text{Now, consider } \|C(\lambda x_1 + (1 - \lambda)x_2) - d\| = \| \lambda Cx_1 + (1 - \lambda)Cx_2 - (1 - \lambda)d - \lambda d \| 
= \| \lambda(Cx_1 - d) + (1 - \lambda)(Cx_2 - d) \| \leq \lambda\|Cx_1 - d\| + (1 - \lambda)\|Cx_2 - d\|

\text{ (by the triangle inequality of the norm)}.

\text{Using the given inequalities, we have: }

\lambda \|Cx_1 - d\| + (1 - \lambda)\|Cx_2 - d\| \leq \lambda(a^\top x_1 + r) + (1 - \lambda)(a^\top x_2 + r) 
= \lambda a^\top x_1 + \lambda r + (1 - \lambda)a^\top x_2 + (1 - \lambda)r 
= a^\top (\lambda x_1 + (1 - \lambda)x_2) + r

\Rightarrow \|C(\lambda x_1 + (1 - \lambda)x_2) - d\| \leq a^\top (\lambda x_1 +_
","\textit{Proof.} \text{ Let } \boldsymbol{x}, \boldsymbol{y} \in \Omega \text{ and } \theta \in (0,1) \text{ be arbitrary. Then, } \|C\boldsymbol{x} - \boldsymbol{d}\| \leq \boldsymbol{a}^\top \boldsymbol{x} + r \text{ and } \|C\boldsymbol{y} - \boldsymbol{d}\| \leq \boldsymbol{a}^\top \boldsymbol{y} + r.

\text{Define } \boldsymbol{z} = \theta \boldsymbol{x} + (1 - \theta)\boldsymbol{y}. \text{We need to show that } \boldsymbol{z} \in \Omega.

\|C\boldsymbol{z} - \boldsymbol{d}\| 
= \|C(\theta \boldsymbol{x} + (1 - \theta)\boldsymbol{y}) - \boldsymbol{d}\| 
= \|\theta C\boldsymbol{x} + (1 - \theta)C\boldsymbol{y} - \boldsymbol{d}\| 
= \|\theta(C\boldsymbol{x} - \boldsymbol{d}) + (1 - \theta)(C\boldsymbol{y} - \boldsymbol{d})\| 
\leq \|\theta(C\boldsymbol{x} - \boldsymbol{d})\| + \|(1 - \theta)(C\boldsymbol{y} - \boldsymbol{d})\| \quad \text{(triangle inequality)} \\
= |\theta|\|C\boldsymbol{x} - \boldsymbol{d}\| + |1 - \theta|\|C\boldsymbol{y} - \boldsymbol{d}\| \quad \text{(positive homogeneity)} 
= \theta\|C\boldsymbol{x} - \boldsymbol{d}\| + (1 - \theta)\|C\boldsymbol{y} - \boldsymbol{d}\| \quad (\theta > 0, 1 - \theta > 0)

\leq \theta(\boldsymbol{a}^\top \boldsymbol{x} + r) + (1 - \theta)(\boldsymbol{a}^\top \boldsymbol{y} + r) 
= \boldsymbol{a}^\top (\theta \boldsymbol{x} + (1 - \theta)\boldsymbol{y}) + r 
= \boldsymbol{a}^\top \boldsymbol{z} + r

\Rightarrow \boldsymbol{z} \in \Omega \Rightarrow \Omega \text{ is convex}.
",5,1.slightly more roundabout 2.lacks side comments/annotations
opt-1-i,7,"\text{To find the Newton direction for the given function } h(x_1, x_2) = x_1^2 + x_2^2 - x_1 x_2 + 3x_2 - 1 \text{ at the point } \mathbf{x}^{(1)} = (1, 1)^T, \text{ we first compute the gradient and Hessian. The gradient is }

\nabla h(x_1, x_2) = (2x_1 - x_2, 2x_2 - x_1 + 3)^T, \text{ and the Hessian is } \nabla^2 h(x_1, x_2) = \begin{pmatrix} 2 & -1 \\ -1 & 2 \end{pmatrix}.

\text{Evaluating the gradient at } \mathbf{x}^{(1)} = (1, 1)^T \text{ gives } \nabla h(1, 1) = (1, 4)^T.

\text{The Newton direction is given by } \mathbf{s}^{(1)} = -(\nabla^2 h(1, 1))^{-1} \nabla h(1, 1). \text{ The inverse of the Hessian is } (\nabla^2 h(1, 1))^{-1} = \frac{1}{3} \begin{pmatrix} 2 & 1 \\ 1 & 2 \end{pmatrix}.

\text{Thus, the Newton direction is } \mathbf{s}^{(1)} = -\frac{1}{3} \begin{pmatrix} 2 & 1 \\ 1 & 2 \end{pmatrix} \begin{pmatrix} 1 \\ 4 \end{pmatrix} = -\frac{1}{3} \begin{pmatrix} 6 \\ 9 \end{pmatrix} = \begin{pmatrix} -2 \\ -3 \end{pmatrix}.

\text{Therefore, the Newton direction is } \mathbf{s}^{(1)} = (-2, -3)^T.
","\text{Solution. The gradient and Hessian are given by }

\nabla h(\mathbf{x}) = \begin{pmatrix} 2x_1 - x_2 \\ 2x_2 - x_1 + 3 \end{pmatrix}, \quad \nabla^2 h(\mathbf{x}) = \begin{pmatrix} 2 & -1 \\ -1 & 2 \end{pmatrix}.

\text{The Newton direction } \mathbf{s}^{(1)} \text{ satisfies }

\nabla^2 h(\mathbf{x}^{(1)}) \mathbf{s}^{(1)} = \begin{pmatrix} 2 & -1 \\ -1 & 2 \end{pmatrix} \mathbf{s}^{(1)} = -\nabla h(\mathbf{x}^{(1)}) = \begin{pmatrix} -1 \\ -4 \end{pmatrix}.

\text{By row reduction: }

\left( \begin{array}{cc|c} 2 & -1 & -1 \\ -1 & 2 & -4 \end{array} \right) 
\rightarrow \left( \begin{array}{cc|c} 1 & -\frac{1}{2} & -\frac{1}{2} \\ 1 & -2 & -4 \end{array} \right) 
\rightarrow \left( \begin{array}{cc|c} 0 & \frac{3}{2} & \frac{9}{2} \end{array} \right),

\text{giving } \mathbf{s}^{(1)} = (-2, -3)^T.
",5,1.skip the equation-solving step
opt-1-ii,8,"\text{To determine if the Newton direction } \mathbf{s}^{(1)} = (-2, -3)^T \text{ is a descent direction for } h \text{ at } \mathbf{x}^{(1)} = (1, 1)^T, \text{ we need to check if the directional derivative } \nabla h(\mathbf{x}^{(1)})^T \mathbf{s}^{(1)} \text{ is negative.}

\text{We already found that } \nabla h(1, 1) = (1, 4)^T. \text{ So, } \nabla h(1, 1)^T \mathbf{s}^{(1)} = (1, 4) \cdot (-2, -3) = 1(-2) + 4(-3) = -2 - 12 = -14.

\text{Since } -14 < 0, \text{ the directional derivative is negative, indicating that the Newton direction } \mathbf{s}^{(1)} = (-2, -3)^T \text{ is indeed a descent direction for } h \text{ at } \mathbf{x}^{(1)} = (1, 1)^T.
","\text{Solution. It is a descent direction as }

\nabla h(\mathbf{x}^{(1)})^T \mathbf{s}^{(1)} = (1 \quad 4) \begin{pmatrix} -2 \\ -3 \end{pmatrix} = -14 < 0.
",5,no
opt-1-iii,9,"\text{To find the next Newton iterate } \mathbf{x}^{(2)}, \text{ we use the formula } \mathbf{x}^{(2)} = \mathbf{x}^{(1)} + \mathbf{s}^{(1)}.

\text{We have } \mathbf{x}^{(1)} = (1, 1)^T \text{ and } \mathbf{s}^{(1)} = (-2, -3)^T.

\text{Therefore, } \mathbf{x}^{(2)} = (1, 1)^T + (-2, -3)^T = (1 - 2, 1 - 3)^T = (-1, -2)^T.

\text{Thus, the next Newton iterate is } \mathbf{x}^{(2)} = (-1, -2)^T.
","\text{Solution. } \mathbf{x}^{(2)} = \mathbf{x}^{(1)} + \mathbf{s}^{(1)} = (1, 1)^T + (-2, -3)^T = (-1, -2)^T.
",5,no
opt-1-iv,10,"\text{To show that } \mathbf{x}^{(2)} = (-1, -2)^T \text{ is the unique global minimizer for } h(x_1, x_2) = x_1^2 + x_2^2 - x_1 x_2 + 3x_2 - 1, \text{ we can analyze the Hessian matrix.}

\text{The Hessian is } \nabla^2 h(x_1, x_2) = \begin{pmatrix} 2 & -1 \\ -1 & 2 \end{pmatrix}.

\text{The determinant is } 2(2) - (-1)(-1) = 4 - 1 = 3 > 0, \text{ and the trace is } 2 + 2 = 4 > 0.

\text{Since the determinant and trace are both positive, the eigenvalues of the Hessian are positive, meaning the Hessian is positive definite.}

\text{This implies that the function } h \text{ is strictly convex. For a strictly convex function, any critical point is a unique global minimizer.}

\text{Since } \mathbf{x}^{(2)} \text{ is the result of one Newton iteration, it is a critical point where the gradient is zero.}

\text{Therefore, } \mathbf{x}^{(2)} = (-1, -2)^T \text{ is the unique global minimizer for the function } h.
","\text{Solution. The point } \mathbf{x}^{(2)} \text{ is a stationary point because }

\nabla h(\mathbf{x}^{(2)}) = \begin{pmatrix} 2(-1) - (-2) \\ 2(-2) - (-1) + 3 \end{pmatrix} = \begin{pmatrix} 0 \\ 0 \end{pmatrix}.

\text{Moreover, } \nabla^2 h(x) = \begin{pmatrix} 2 & -1 \\ -1 & 2 \end{pmatrix} \text{ with } \mathrm{tr}(\nabla^2 h(x)) = 4 > 0 \text{ and } \det(\nabla^2 h(x)) = 3 > 0 \text{ has positive eigenvalues,}

\text{so } \nabla^2 h(x) \text{ is positive definite for all } \mathbf{x} \in \mathbb{R}^2. \text{ Hence, } h \text{ is a strictly convex function over } \mathbb{R}^2.

\text{Hence, the stationary point } \mathbf{x}^{(2)} \text{ is the unique global minimiser.}
",5,1.minor CoT omission
