Question Number,AI Answer,Correct Answer,Match,Subject,Level
1,"(3,pi/2)","\left( 3, \frac{\pi}{2} \right)",1,Precalculus,2
2,$\frac{7}{8} q$,p - q,0,Intermediate Algebra,5
3,-6.5,\frac{14}{3},0,Algebra,3
4,9,9,1,Number Theory,3
5,Evelyn,\text{Evelyn},1,Algebra,2
6,42,42,1,Prealgebra,2
7,216,27,0,Number Theory,3
8,90,90^\circ,1,Precalculus,4
9,$3\sqrt{13}$,3\sqrt{13},1,Algebra,3
10,11,4,0,Prealgebra,5
11,2220,2220,1,Number Theory,3
12,6/65,\frac{3}{56},0,Intermediate Algebra,5
13,284,284,1,Number Theory,5
14,5,5,1,Geometry,2
15,$\sqrt{51}$,\sqrt{51},1,Precalculus,1
16,6-5i,6 - 5i,1,Precalculus,5
17,-50,-50,1,Intermediate Algebra,1
18,$\pi$,\pi,1,Precalculus,4
19,31,28,0,Geometry,1
20,3,3,1,Intermediate Algebra,3
21,6 + 9i,6+9i,1,Algebra,3
22,1154,13535,0,Intermediate Algebra,3
23,4,5,0,Algebra,5
24,5,x=5,1,Algebra,5
25,9,10,0,Algebra,5
26,"1, -1, 0","1,-2",0,Intermediate Algebra,5
27,24,144,0,Counting & Probability,5
28,72,78,0,Prealgebra,2
29,-2 + 7i,-2 + 7i,1,Precalculus,2
30,5,225,0,Counting & Probability,2
31,52,52_8,0,Number Theory,3
32,$11\sqrt{2}$,11\sqrt2,1,Prealgebra,4
33,720,720,1,Counting & Probability,4
34,$\frac{27}{125}$,\frac{243}{625},0,Algebra,4
35,-78.125,-125,0,Counting & Probability,4
36,0,3,0,Number Theory,2
37,5,"3, 5, 7",0,Intermediate Algebra,2
38,72,72,1,Geometry,3
39,2000,2000,1,Algebra,1
40,23,23,1,Number Theory,3
41,12,12,0,Prealgebra,2
42,10,17,0,Geometry,4
43,5,4,0,Algebra,2
44,50,70 \sqrt{2},0,Intermediate Algebra,5
45,1.25,1.25,1,Prealgebra,5
46,2,2,1,Geometry,3
47,12,6,0,Precalculus,2
48,-2,5,0,Algebra,5
49,45718,\frac{3}{2},1,Algebra,2
50,83,83,1,Prealgebra,4
51,221,203,0,Number Theory,5
52,-2,x^5 - x^4 + x^3 - x^2 + x - 1,0,Intermediate Algebra,2
53,12,12,1,Prealgebra,5
54,$-\frac{\pi}{6}$,-\frac{\pi}{6},1,Precalculus,2
55,0.15,0.15,1,Prealgebra,2
56,3,3,1,Algebra,4
57,11,11,1,Algebra,3
58,16,16,1,Intermediate Algebra,2
59,9901,9901,1,Algebra,1
60,5,5,1,Prealgebra,2
61,"（6,31,-1)","(6,31,-1)",1,Intermediate Algebra,5
62,-24,-256,0,Intermediate Algebra,3
63,$\sqrt{13}$,4,0,Precalculus,5
64,10,10,1,Intermediate Algebra,5
65,35/64,\frac{35}{64},1,Precalculus,4
66,1,1,1,Prealgebra,1
67,x^3 - 5x^2 + 3x - 6,x^3+3x-6,0,Algebra,3
68,16,10,0,Prealgebra,4
69,46,46,1,Precalculus,4
70,-1,-1,1,Intermediate Algebra,4
71,40,40_9,0,Number Theory,2
72,2516,2516_8,0,Number Theory,4
73,3,3,1,Geometry,2
74,$\frac{\sqrt{27}}{\sqrt{14}}$,\frac{3\sqrt{3}}{4},0,Algebra,4
75,csc x cot x,\cot x,0,Precalculus,2
76,11/36,\frac{11}{36},1,Counting & Probability,4
77,0,0,1,Intermediate Algebra,2
78,4,4,1,Algebra,1
79,"(-2,1)","(-2,1)",1,Intermediate Algebra,4
80,2,2,1,Prealgebra,1
81,998,501,0,Intermediate Algebra,5
82,8,3,0,Algebra,3
83,45659,\frac{3}{2},0,Algebra,5
84,2,2,1,Intermediate Algebra,2
85,-5,-1,0,Algebra,4
86,$\sqrt{5}$,\sqrt{5},1,Geometry,4
87,240,240,1,Prealgebra,1
88,2,1,0,Algebra,1
89,2,2,1,Algebra,5
90,3,21,0,Number Theory,4
91,45718,\frac{3}{2},1,Prealgebra,3
92,3,1,0,Algebra,3
93,0.01536,\frac{448}{15625},0,Counting & Probability,4
94,33,33,1,Algebra,4
95,130,80,0,Prealgebra,5
96,3,-4,0,Precalculus,2
97,"{1 + \sqrt{19}, 1 - \sqrt{19}",1 \pm \sqrt{19},1,Intermediate Algebra,5
98,East,\text{east},1,Prealgebra,1
99,2k + 2,2k+2,1,Prealgebra,2
100,$\begin{pmatrix} 4/3 \\ -1/3 \\ -1/3 \end{pmatrix}$,\begin{pmatrix} -1/3 \\ 2/3 \\ 5/3 \end{pmatrix},0,Precalculus,3
101,90,145^\circ,0,Geometry,5
102,65,850,0,Intermediate Algebra,5
103,(a+5)(b+2),(a+5)(b+2),1,Intermediate Algebra,1
104,3,"(3,4]",0,Intermediate Algebra,5
105,20,40,0,Intermediate Algebra,4
106,25,29,0,Prealgebra,3
107,45750,\frac43,1,Intermediate Algebra,2
108,9,9,1,Number Theory,2
109,4,2,0,Intermediate Algebra,3
110,120,120^\circ,1,Precalculus,5
111,126,504,0,Intermediate Algebra,4
112,350,210,0,Counting & Probability,3
113,13,13,1,Algebra,4
114,90000,8000,0,Algebra,2
115,-5,-5,1,Intermediate Algebra,3
116,5040,1260,0,Counting & Probability,2
117,2,2,1,Algebra,2
118,3,3,1,Algebra,2
119,81,81,1,Intermediate Algebra,5
120,-9,-9,1,Prealgebra,3
121,odd,\text{even},0,Intermediate Algebra,2
122,6,6,1,Prealgebra,2
123,9,9,1,Algebra,3
124,12,8,0,Geometry,4
125,45965,\frac{11}{2},0,Algebra,4
126,13,-3,0,Algebra,4
127,-1,1+274i,0,Intermediate Algebra,4
128,4210,4210_{5},1,Number Theory,3
129,36,36,1,Algebra,3
130,30,\frac{3840}{289},0,Geometry,5
131,7,13,0,Number Theory,4
132,8,8,1,Algebra,4
133,4,4,1,Prealgebra,3
134,120,120,1,Prealgebra,3
135,16,16,1,Intermediate Algebra,4
136,9,9,1,Prealgebra,5
137,64,64,1,Intermediate Algebra,5
138,204,204_5,1,Number Theory,4
