Question,AI answer,Correct answer,Match
1,18.0,18.0,1
2,3.0,3.0,1
3,90000.0,70000.0,0
4,540.0,540.0,1
5,20.0,20.0,1
6,68.0,64.0,0
7,220.0,260.0,0
8,240.0,160.0,0
9,115.0,45.0,0
10,470.0,460.0,0
11,276.0,366.0,0
12,674.0,694.0,0
13,9.0,13.0,0
14,21.0,18.0,0
15,60.0,60.0,1
16,221.0,125.0,0
17,460.0,230.0,0
18,57500.0,57500.0,1
19,7.0,7.0,1
20,6.0,6.0,1
21,16.0,15.0,0
22,26.0,14.0,0
23,7.0,7.0,1
24,8.0,8.0,1
25,26.0,26.0,1
26,2.0,2.0,1
27,243.0,243.0,1
28,16.0,16.0,1
29,25.0,25.0,1
30,99.0,104.0,0
31,109.0,109.0,1
32,95.0,80.0,0
33,35.0,35.0,1
34,70.0,70.0,1
35,23.0,23.0,1
36,9.0,9.0,1
37,37.5,75.0,0
38,0.0,2.0,0
39,10.0,10.0,1
40,15.0,18.0,0
41,8.0,8.0,1
42,200.0,200.0,1
43,26.0,26.0,1
44,120.0,48.0,0
45,10.0,20.0,0
46,168.0,104.0,0
47,153.0,163.0,0
48,500.0,800.0,0
49,8.0,8.0,1
50,30.0,30.0,1
51,294.0,294.0,1
52,5.0,5.0,1
53,15.0,15.0,1
54,80.0,40.0,0
55,40.0,40.0,1
56,14.0,14.0,1
57,3.0,3.0,1
58,82.0,83.0,0
59,57.0,57.0,1
60,187.0,187.0,1
61,17.0,17.0,1
62,1430.0,1430.0,1
63,37500.0,25000.0,0
64,1554.0,1596.0,0
65,300.0,300.0,1
66,30.0,36.0,0
67,60.0,48.0,0
68,595.0,595.0,1
69,24.0,36.0,0
70,60.0,60.0,1
71,10125.0,7425.0,0
72,60.0,60.0,1
73,221.0,221.0,1
74,255.0,255.0,1
75,82.0,88.0,0
76,40.0,60.0,0
77,4.0,5.0,0
78,50.0,100.0,0
79,3.0,6.0,0
80,70.0,70.0,1
81,14.0,10.0,0
82,17.0,17.0,1
83,623.0,623.0,1
84,600.0,600.0,1
85,15.0,15.0,1
86,44.0,44.0,1
87,13.0,22.0,0
88,9360.0,9360.0,1
89,8000.0,8000.0,1
90,24.0,24.0,1
91,225.0,225.0,1
92,20.0,28.0,0
93,11.0,4.0,0
94,40.0,36.0,0
95,228.0,348.0,0
96,24.0,40.0,0
97,3.0,3.0,1
98,12.0,12.0,1
99,15.0,5.0,0
100,70.0,58.0,0
101,145.0,175.0,0
102,6.0,6.0,1
103,20.0,26.0,0
104,140.0,140.0,1
105,500.0,500.0,1
